horizon_quarter,experiment,variable,pct_dev
20,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),-0.03
21,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),-0.026
22,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),-0.019
23,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),-0.008
24,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.006
25,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.023
26,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.043
27,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.066
28,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.092
29,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.12
30,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.151
31,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.185
32,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.221
33,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.259
34,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.299
35,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.341
36,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.386
37,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.432
38,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.48
39,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.53
40,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.582
41,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.635
42,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.69
43,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.747
44,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.805
45,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.864
46,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.924
47,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),0.986
48,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),1.05
49,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),1.114
50,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),1.18
51,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),1.246
52,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),1.314
53,AE: Human capital investment,Output (Y<sup>d</sup><sub>t</sub>),1.383
